door	-2	(7,0)	-5	(7,8)	U
door	-2	(14,1)	-3	(1,1)	U
door	-2	(14,7)	-3	(1,7)	U
door	-3	(0,1)	-2	(13,1)	U
door	-3	(14,1)	-4	(1,1)	U		
door	-3	(0,7)	-2	(13,7)	U
door	-3	(14,7)	-4	(1,7)	U
door	-4	(0,7)	-3	(13,7)	U
door	-5	(7,9)	-2	(7,1)	U
door	-5	(7,0)	-9	(7,8)	U
door	-6	(12,0)	-10	(12,8)	U
door	-6	(0,4)	-5	(13,4)	U
door	-7	(14,4)	-8	(1,4)	U
door	-8	(14,4)	-9	(1,4)	U
door	-9	(7,9)	-5	(7,1)	U
door	-9	(0,4)	-8	(13,4)	U
door	-9	(14,4)	-10	(1,4)	L	-12	(7,4)
door	-10	(0,4)	-9	(13,4)	U
door	-10	(14,4)	-11	(1,4)	L	-6	(8, 4)
door	-10	(12,9)	-6	(12,1)	U
door	-11	(0,4)	-10	(13,4)	U
door	-12	(7,9)	-8	(7,1)	U
door	-13	(14,4)	-14	(1,4)	U
door	-14	(0,4)	-13	(13,4)	U
door	-14	(14,4)	-15	(1,4)	U
door	-15	(0,4)	-14	(13,4)	U
door	-15	(7,9)	-11	(7,1)	U
door	-15	(14,4)	-16	(1,4)	U
door	-16	(0,4)	-15	(13,4)	U
door	-16	(14,4)	-17	(1,4)	U
door	-17	(0,4)	-16	(13,4)	U
door	-18	(7,9)	-15	(7,1)	U
door	-19	(7,9)	-18	(7,1)	U
door	-20	(0,4)	-19	(13,4)	U
door	-21	(0,1)	-20	(13,8)	U
door	-22	(0,6)	-21	(15,10)	U
door	-21	(16,10)	-22	(1,6)	U
door	-21	(16,1)	-22	(1,1)	U
door	-22	(0,1)	-21	(15,1)	U
door	-22	(4,10)	-22	(6,10)	L	-21	(15, 4)
door	-22	(5,10)	-22	(3,10)	U
